K1,K2,GROUP,CPUD,INTCD,TIMERD,SERIALD,SUMD
apm821xx,nand,0-0,0,0,0,0,0
apm821xx,nand,0-1,0,0,0,0,0
apm821xx,nand,0-2,0,0,0,0,0
apm821xx,nand,0-3,0,0,0,0,0
apm821xx,nand,0-4,0,0,0,0,0
apm821xx,nand,0-5,0,0,0,0,0
apm821xx,nand,0-6,0,0,0,0,0
apm821xx,nand,0-7,0,0,0,0,0
apm821xx,nand,0-8,0,0,0,0,0
apm821xx,nand,0-9,0,0,0,0,0
apm821xx,nand,1-0,0,0,0,0,0
apm821xx,nand,1-1,0,0,0,0,0
apm821xx,nand,1-2,0,0,0,0,0
apm821xx,nand,1-3,0,0,0,0,0
apm821xx,nand,1-4,0,0,0,0,0
apm821xx,nand,1-5,0,0,0,0,0
apm821xx,nand,1-6,0,0,0,0,0
apm821xx,nand,1-7,0,0,0,0,0
apm821xx,nand,1-8,0,0,0,0,0
apm821xx,nand,1-9,0,0,0,0,0
apm821xx,nand,2-0,0,0,0,0,0
apm821xx,nand,2-1,0,0,0,0,0
apm821xx,nand,2-2,0,0,0,0,0
apm821xx,nand,2-3,0,0,0,0,0
apm821xx,nand,2-4,0,0,0,0,0
apm821xx,nand,2-5,0,0,0,0,0
apm821xx,nand,2-6,0,0,0,0,0
apm821xx,nand,2-7,0,0,0,0,0
apm821xx,nand,2-8,0,0,0,0,0
apm821xx,nand,2-9,0,0,0,0,0
apm821xx,nand,3-0,0,0,0,0,0
apm821xx,nand,3-1,0,0,0,0,0
apm821xx,nand,3-2,0,0,0,0,0
apm821xx,nand,3-3,0,0,0,0,0
apm821xx,nand,3-4,0,0,0,0,0
apm821xx,nand,3-5,0,0,0,0,0
apm821xx,nand,3-6,0,0,0,0,0
apm821xx,nand,3-7,0,0,0,0,0
apm821xx,nand,3-8,0,0,0,0,0
apm821xx,nand,3-9,0,0,0,0,0
apm821xx,nand,4-0,0,0,0,0,0
apm821xx,nand,4-1,0,0,0,0,0
apm821xx,nand,4-2,0,0,0,0,0
apm821xx,nand,4-3,0,0,0,0,0
apm821xx,nand,4-4,0,0,0,0,0
apm821xx,nand,4-5,0,0,0,0,0
apm821xx,nand,4-6,0,0,0,0,0
apm821xx,nand,4-7,0,0,0,0,0
apm821xx,nand,4-8,0,0,0,0,0
apm821xx,nand,4-9,0,0,0,0,0
apm821xx,nand,5-0,0,0,0,0,0
apm821xx,nand,5-1,0,0,0,0,0
apm821xx,nand,5-2,0,0,0,0,0
apm821xx,nand,5-3,0,0,0,0,0
apm821xx,nand,5-4,0,0,0,0,0
apm821xx,nand,5-5,0,0,0,0,0
apm821xx,nand,5-6,0,0,0,0,0
apm821xx,nand,5-7,0,0,0,0,0
apm821xx,nand,5-8,0,0,0,0,0
apm821xx,nand,5-9,0,0,0,0,0
apm821xx,nand,6-0,0,0,0,0,0
apm821xx,nand,6-1,0,0,0,0,0
apm821xx,nand,6-2,0,0,0,0,0
apm821xx,nand,6-3,0,0,0,0,0
apm821xx,nand,6-4,0,0,0,0,0
apm821xx,nand,6-5,0,0,0,0,0
apm821xx,nand,6-6,0,0,0,0,0
apm821xx,nand,6-7,0,0,0,0,0
apm821xx,nand,6-8,0,0,0,0,0
apm821xx,nand,6-9,0,0,0,0,0
apm821xx,nand,7-0,0,0,0,0,0
apm821xx,nand,7-1,0,0,0,0,0
apm821xx,nand,7-2,0,0,0,0,0
apm821xx,nand,7-3,0,0,0,0,0
apm821xx,nand,7-4,0,0,0,0,0
apm821xx,nand,7-5,0,0,0,0,0
apm821xx,nand,7-6,0,0,0,0,0
apm821xx,nand,7-7,0,0,0,0,0
apm821xx,nand,7-8,0,0,0,0,0
apm821xx,nand,7-9,0,0,0,0,0
apm821xx,nand,8-0,0,0,0,0,0
apm821xx,nand,8-1,0,0,0,0,0
apm821xx,nand,8-2,0,0,0,0,0
apm821xx,nand,8-3,0,0,0,0,0
apm821xx,nand,8-4,0,0,0,0,0
apm821xx,nand,8-5,0,0,0,0,0
apm821xx,nand,8-6,0,0,0,0,0
apm821xx,nand,8-7,0,0,0,0,0
apm821xx,nand,8-8,0,0,0,0,0
apm821xx,nand,8-9,0,0,0,0,0
apm821xx,nand,9-0,0,0,0,0,0
apm821xx,nand,9-1,0,0,0,0,0
apm821xx,nand,9-2,0,0,0,0,0
apm821xx,nand,9-3,0,0,0,0,0
apm821xx,nand,9-4,0,0,0,0,0
apm821xx,nand,9-5,0,0,0,0,0
apm821xx,nand,9-6,0,0,0,0,0
apm821xx,nand,9-7,0,0,0,0,0
apm821xx,nand,9-8,0,0,0,0,0
