target,subtarget,arch,board,dt,smp,uart,nvram,count,portion,sum,subportion,subsum
ar71xx,generic,mips,ath79,ath79,unkunk,unk,unk,11282,29.8718%,37768,87.2207%,12935
ramips,rt305x,mips,ralink,ralink,unkunk,unk,unk,5249,13.8980%,37768,53.4957%,9812
brcm63xx,generic,mips,bcm63xx,bcm63xx,unkunk,unk,unk,2717,7.1939%,37768,54.8114%,4957
brcm63xx,smp,mips,bcm63xx,bcm63xx,unkunk,unk,unk,2240,5.9309%,37768,45.1886%,4957
ramips,mt7620,mips,ralink,ralink,unkunk,unk,unk,1926,5.0996%,37768,19.6290%,9812
ramips,mt7621,mips,ralink,ralink,unkunk,unk,unk,1307,3.4606%,37768,13.3204%,9812
ar71xx,tiny,mips,ath79,ath79,unkunk,unk,unk,1271,3.3653%,37768,9.8261%,12935
brcm47xx,mips74k,mips,bcm47xx,bcm47xx,unkunk,unk,unk,1128,2.9867%,37768,50.9025%,2216
lantiq,xway,mips,lantiq,lantiq,unkunk,unk,unk,1060,2.8066%,37768,53.9166%,1966
brcm47xx,legacy,mips,bcm47xx,bcm47xx,unkunk,unk,unk,819,2.1685%,37768,36.9585%,2216
ath79,generic,mips,ath79,ath79,unkunk,unk,unk,615,1.6284%,37768,90.5744%,679
ar7,generic,mips,ar7,ar7,unkunk,unk,unk,569,1.5066%,37768,97.9346%,581
lantiq,xrx200,mips,lantiq,lantiq,unkunk,unk,unk,535,1.4165%,37768,27.2126%,1966
kirkwood,generic,arm,mach-mvebu,mach-mvebu,unkunk,unk,unk,482,1.2762%,37768,99.1770%,486
ramips,mt76x8,mips,ralink,ralink,unkunk,unk,unk,410,1.0856%,37768,4.1786%,9812
bcm53xx,generic,arm,mach-bcm,mach-bcm,unkunk,unk,unk,408,1.0803%,37768,100.0000%,408
ramips,rt3883,mips,ralink,ralink,unkunk,unk,unk,317,0.8393%,37768,3.2307%,9812
mvebu,cortexa9,arm,mach-mvebu,mach-mvebu,unkunk,unk,unk,300,0.7943%,37768,64.7948%,463
brcm47xx,generic,mips,bcm47xx,bcm47xx,unkunk,unk,unk,269,0.7122%,37768,12.1390%,2216
ipq806x,generic,arm,mach-qcom,mach-qcom,unkunk,unk,unk,268,0.7096%,37768,100.0000%,268
lantiq,falcon,mips,lantiq,lantiq,unkunk,unk,unk,240,0.6355%,37768,12.2075%,1966
ramips,generic,mips,ralink,ralink,unkunk,unk,unk,225,0.5957%,37768,2.2931%,9812
ar71xx,mikrotik,mips,ath79,ath79,unkunk,unk,unk,220,0.5825%,37768,1.7008%,12935
ipq40xx,generic,arm,mach-qcom,mach-qcom,unkunk,unk,unk,211,0.5587%,37768,100.0000%,211
ramips,rt288x,mips,ralink,ralink,unkunk,unk,unk,206,0.5454%,37768,2.0995%,9812
adm5120,router_le,mips,adm5120,adm5120,unkunk,unk,unk,186,0.4925%,37768,74.4000%,250
oxnas,generic,arm,mach-oxnas,mach-oxnas,unkunk,unk,unk,177,0.4687%,37768,63.8989%,277
ixp4xx,generic,arm,mach-ixp4xx,mach-ixp4xx,unkunk,unk,unk,168,0.4448%,37768,51.6923%,325
ar71xx,nand,mips,ath79,ath79,unkunk,unk,unk,162,0.4289%,37768,1.2524%,12935
ixp4xx,harddisk,arm,mach-ixp4xx,mach-ixp4xx,unkunk,unk,unk,153,0.4051%,37768,47.0769%,325
mvebu,generic,arm,mach-mvebu,mach-mvebu,unkunk,unk,unk,143,0.3786%,37768,30.8855%,463
imx6,generic,arm,mach-imx,mach-imx,unkunk,unk,unk,136,0.3601%,37768,100.0000%,136
at91,legacy,arm,mach-at91,mach-at91,unkunk,unk,unk,128,0.3389%,37768,32.8205%,390
brcm-2.4,generic,unk,unk,unk,unk,unk,unk,111,0.2939%,37768,100.0000%,111
ath25,generic,mips,ath25,ath25,unkunk,unk,unk,109,0.2886%,37768,100.0000%,109
at91,sama5d2,arm,mach-at91,mach-at91,unkunk,unk,unk,104,0.2754%,37768,26.6667%,390
oxnas,ox820,arm,mach-oxnas,mach-oxnas,unkunk,unk,unk,100,0.2648%,37768,36.1011%,277
lantiq,xway_legacy,mips,lantiq,lantiq,unkunk,unk,unk,100,0.2648%,37768,5.0865%,1966
sunxi,generic,arm,mach-sunxi,mach-sunxi,unkunk,unk,unk,84,0.2224%,37768,100.0000%,84
ramips,mt7628,mips,ralink,ralink,unkunk,unk,unk,83,0.2198%,37768,0.8459%,9812
apm821xx,nand,unk,unk,unk,unk,unk,unk,77,0.2039%,37768,79.3814%,97
mpc85xx,generic,unk,unk,unk,unk,unk,unk,76,0.2012%,37768,55.8824%,136
cns3xxx,generic,arm,mach-cns3xxx,mach-cns3xxx,unkunk,unk,unk,73,0.1933%,37768,100.0000%,73
ramips,mt7688,mips,ralink,ralink,unkunk,unk,unk,64,0.1695%,37768,0.6523%,9812
ath79,tiny,mips,ath79,ath79,unkunk,unk,unk,64,0.1695%,37768,9.4256%,679
octeon,generic,mips,cavium-octeon,cavium-octeon,unkunk,unk,unk,62,0.1642%,37768,100.0000%,62
atheros,generic,mips,ar231x,ar231x,unkunk,unk,unk,57,0.1509%,37768,100.0000%,57
mpc85xx,p1020,unk,unk,unk,unk,unk,unk,56,0.1483%,37768,41.1765%,136
rb532,generic,mips,rb532,rb532,unkunk,unk,unk,51,0.1350%,37768,100.0000%,51
layerscape,64b,arm,mach-imx,mach-imx,unkunk,unk,unk,50,0.1324%,37768,27.9330%,179
layerscape,32b,arm,mach-imx,mach-imx,unkunk,unk,unk,50,0.1324%,37768,27.9330%,179
at91,sama5d4,arm,mach-at91,mach-at91,unkunk,unk,unk,48,0.1271%,37768,12.3077%,390
adm5120_mipsel,generic,unk,unk,unk,unk,unk,unk,47,0.1244%,37768,100.0000%,47
at91,sama5,arm,mach-at91,mach-at91,unkunk,unk,unk,46,0.1218%,37768,11.7949%,390
layerscape,armv8_64b,arm,mach-imx,mach-imx,unkunk,unk,unk,42,0.1112%,37768,23.4637%,179
malta,be,mips,mti-malta,mti-malta,unkunk,unk,unk,38,0.1006%,37768,55.8824%,68
brcm47xx-2.6,generic,unk,unk,unk,unk,unk,unk,38,0.1006%,37768,100.0000%,38
adm5120_router_le,generic,unk,unk,unk,unk,unk,unk,38,0.1006%,37768,100.0000%,38
layerscape,armv8_32b,arm,mach-imx,mach-imx,unkunk,unk,unk,35,0.0927%,37768,19.5531%,179
adm5120,router_be,mips,adm5120,adm5120,unkunk,unk,unk,34,0.0900%,37768,13.6000%,250
at91,sama5d3,arm,mach-at91,mach-at91,unkunk,unk,unk,32,0.0847%,37768,8.2051%,390
at91,sam9x,arm,mach-at91,mach-at91,unkunk,unk,unk,32,0.0847%,37768,8.2051%,390
adm8668,generic,mips,adm8668,adm8668,unkunk,unk,unk,28,0.0741%,37768,100.0000%,28
mediatek,mt7623,arm,mach-mediatek,mach-mediatek,unkunk,unk,unk,22,0.0583%,37768,52.3810%,42
mediatek,mt7622,arm,mach-mediatek,mach-mediatek,unkunk,unk,unk,20,0.0530%,37768,47.6190%,42
lantiq,ase,mips,lantiq,lantiq,unkunk,unk,unk,20,0.0530%,37768,1.0173%,1966
archs38,generic,unk,unk,unk,unk,unk,unk,20,0.0530%,37768,100.0000%,20
arc770,generic,unk,unk,unk,unk,unk,unk,20,0.0530%,37768,100.0000%,20
apm821xx,sata,unk,unk,unk,unk,unk,unk,20,0.0530%,37768,20.6186%,97
adm5120,generic,mips,adm5120,adm5120,unkunk,unk,unk,18,0.0477%,37768,7.2000%,250
ramips,mt7620a,mips,ralink,ralink,unkunk,unk,unk,16,0.0424%,37768,0.1631%,9812
xburst,qi_lb60,mips,jz4740,jz4740,unkunk,unk,unk,14,0.0371%,37768,37.8378%,37
au1000,au1500,mips,alchemy,alchemy,unkunk,unk,unk,14,0.0371%,37768,43.7500%,32
ar7,ac49x,mips,ar7,ar7,unkunk,unk,unk,12,0.0318%,37768,2.0654%,581
adm5120,rb1xx,mips,adm5120,adm5120,unkunk,unk,unk,12,0.0318%,37768,4.8000%,250
malta,le,mips,mti-malta,mti-malta,unkunk,unk,unk,11,0.0291%,37768,16.1765%,68
lantiq,generic,mips,lantiq,lantiq,unkunk,unk,unk,11,0.0291%,37768,0.5595%,1966
au1000,au1550,mips,alchemy,alchemy,unkunk,unk,unk,11,0.0291%,37768,34.3750%,32
pptp,generic,unk,unk,unk,unk,unk,unk,10,0.0265%,37768,100.0000%,10
mvebu,cortexa72,arm,mach-mvebu,mach-mvebu,unkunk,unk,unk,10,0.0265%,37768,2.1598%,463
mvebu,cortexa53,arm,mach-mvebu,mach-mvebu,unkunk,unk,unk,10,0.0265%,37768,2.1598%,463
micro,generic,unk,unk,unk,unk,unk,unk,10,0.0265%,37768,100.0000%,10
ramips,mt7620n,mips,ralink,ralink,unkunk,unk,unk,9,0.0238%,37768,0.0917%,9812
realview,generic,arm,mach-realview,mach-realview,unkunk,unk,unk,8,0.0212%,37768,100.0000%,8
rb532-2.6,generic,unk,unk,unk,unk,unk,unk,8,0.0212%,37768,100.0000%,8
malta,le64,mips,mti-malta,mti-malta,unkunk,unk,unk,8,0.0212%,37768,11.7647%,68
malta,be64,mips,mti-malta,mti-malta,unkunk,unk,unk,8,0.0212%,37768,11.7647%,68
gemini,generic,arm,mach-gemini,mach-gemini,unkunk,unk,unk,8,0.0212%,37768,100.0000%,8
xburst,n526,mips,jz4740,jz4740,unkunk,unk,unk,7,0.0185%,37768,18.9189%,37
xburst,n516,mips,jz4740,jz4740,unkunk,unk,unk,7,0.0185%,37768,18.9189%,37
xburst,id800wt,mips,jz4740,jz4740,unkunk,unk,unk,7,0.0185%,37768,18.9189%,37
au1000,generic,mips,alchemy,alchemy,unkunk,unk,unk,7,0.0185%,37768,21.8750%,32
mpc85xx,p2020,unk,unk,unk,unk,unk,unk,4,0.0106%,37768,2.9412%,136
kirkwood,harddisk,arm,mach-mvebu,mach-mvebu,unkunk,unk,unk,4,0.0106%,37768,0.8230%,486
ixp4xx_harddisk,apex,unk,unk,unk,unk,unk,unk,4,0.0106%,37768,66.6667%,6
ixp4xx_generic,apex,unk,unk,unk,unk,unk,unk,4,0.0106%,37768,66.6667%,6
ixp4xx,apex,arm,mach-ixp4xx,mach-ixp4xx,unkunk,unk,unk,4,0.0106%,37768,1.2308%,325
orion,generic,arm,mach-orion5x,mach-orion5x,unkunk,unk,unk,3,0.0079%,37768,100.0000%,3
malta,generic,mips,mti-malta,mti-malta,unkunk,unk,unk,3,0.0079%,37768,4.4118%,68
au1000-2.6,generic,unk,unk,unk,unk,unk,unk,3,0.0079%,37768,100.0000%,3
atheros-2.6,generic,unk,unk,unk,unk,unk,unk,3,0.0079%,37768,100.0000%,3
adm5120_router_be,generic,unk,unk,unk,unk,unk,unk,3,0.0079%,37768,100.0000%,3
adm5120_mips,generic,unk,unk,unk,unk,unk,unk,3,0.0079%,37768,100.0000%,3
xburst,generic,mips,jz4740,jz4740,unkunk,unk,unk,2,0.0053%,37768,5.4054%,37
mpc83xx,generic,unk,unk,unk,unk,unk,unk,2,0.0053%,37768,100.0000%,2
