Target,Subtarget,IMAGE,REALBOOT
ramips,rt305x,46ae82e2f7a8c99d98fdabe35e7641a9dbedde07.bin.log,51.198999881744385
ramips,rt305x,8c9aa94fa793ccdcbc54f342da5bd6157c2384e9.bin.log,50.235000133514404
ramips,rt305x,622191ba5c03dfd1ee5c7c328568247ddf5a2aa4.bin.log,55.31500005722046
ramips,rt305x,e6d662e3c9cfcefa20faf594d6dc10fa39d0a10d.bin.log,48.0789999961853
ramips,rt305x,71b6645378696754311cee89d889c4bf31de3cee.bin.log,53.259000062942505
ramips,rt305x,18b713a42212ce47b105d21ce159b0e6e54b7fbd.bin.log,48.498000144958496
ramips,rt305x,0b7b7b135fa7ce81c6ab75fff1aee97a23e6877c.bin.log,48.12299990653992
ramips,rt305x,ea923cfbf0d3c6ac475c91efe0501c0bccdf5c6c.bin.log,47.58399987220764
ramips,rt305x,b40f416e132c0689ebd8372ab87fef0e1e3fa51a.bin.log,51.568000078201294
ramips,rt305x,8037cbb2cca5b5ddfd2937a87f6bbb796de45fae.bin.log,51.01699995994568
ramips,rt305x,648f8c2571a8e6e9636edb5ea1a95705909a0138.bin.log,49.859999895095825
ramips,rt305x,c29317e0db14c7bbec5ba8980a322359ed636008.bin.log,54.96000003814697
ramips,rt305x,15072ef1a15ac517299a0fa293cab1fcb1aa8e19.bin.log,56.34999990463257
ramips,rt305x,101fb4b1811255dcd14aec1f559a1b8b93e1cfd5.bin.log,47.51099991798401
ramips,rt305x,b977ea11f6d77a5b4cee3f7c03b671961460d15c.bin.log,48.32100009918213
ramips,rt305x,1d408c2f84fa386917eeac74dce4dd27da5c4dd2.bin.log,53.42400002479553
ramips,rt305x,654715d59dddc0024ed3673aa0739136ace92b5a.bin.log,49.4300000667572
ramips,rt305x,d0412c3cea9044b0af088877cef429c9ea02e9dc.bin.log,48.4280002117157
ramips,rt305x,64614182ca302d48572848f3dbc88f5d45cfcbb7.bin.log,47.825000047683716
ramips,rt305x,932b8329ee9f6d8159f8aae57bdec2fd6634de98.bin.log,45.480000019073486
ramips,rt305x,20ad65052947cf29812f8aea820128f470a14015.bin.log,56.611000061035156
ramips,rt305x,65608d0b4d844cca9542bb3e5db2b306246c8652.bin.log,48.04699993133545
ramips,rt305x,c38d7339a9dbd2f7f46153ff85fcf730746a3661.bin.log,49.75600004196167
ramips,rt305x,26a67410f6543d43389e275c4c1c6030e7528135.bin.log,52.04200005531311
ramips,rt305x,fbb7b283b1e1b8087920d98d923170103cdd24df.bin.log,57.432000160217285
ramips,rt305x,ac689852eb4fe83be994ac56a38060f99cc86aae.bin.log,55.01200008392334
ramips,rt305x,893ed11d04fe12f5426b490c0db9b74b68c1869e.bin.log,51.91499996185303
ramips,rt305x,321e6d4859768b2f26d8c0d627baf991ab9984c2.bin.log,44.05200004577637
ramips,rt305x,6c709e494f48b4ac3ae0ce5b5fd85ec5b139fcfa.bin.log,51.25399994850159
ramips,rt305x,e3dcf5d8f63d4ee398426fc23f622cdf8e6663b1.bin.log,53.788999795913696
ramips,rt305x,51e1bf55eb9a5dd9906ab6d3da2efaac64d8edcd.bin.log,53.96599984169006
ramips,rt305x,e9d6ce4da2c2746f739a951799fc56499bd2e785.bin.log,59.13499999046326
ramips,rt305x,1558ef3ca1b01891fd1a4d2a94513543fe775cae.bin.log,53.20700001716614
ramips,rt305x,27dae0b94c973ada0956e7c13016ecf9f0d5fa90.bin.log,54.45899987220764
ramips,rt305x,27abb7b58e8828764590704389f6fd63c0483219.bin.log,54.02999997138977
ramips,rt305x,497a78d716def400a7cf5a74963c3f63d965c57d.bin.log,51.109999895095825
ramips,rt305x,29db5a68de7af4e6c365a0d74790a45535fe9ae8.bin.log,56.430999994277954
ramips,rt305x,59d1d67335b2f42ec2e4378d7aedef52fc9b412e.bin.log,55.375
ramips,rt305x,d12c5010b1ab9fd6b4555674f57c1e59279b30b9.bin.log,48.5220000743866
ramips,rt305x,e0f6de88be8e73b3d26acfd4be27e50b22f6e427.bin.log,52.22199988365173
ramips,rt305x,c8fba75e690b1f229e9d0978f66ea46e08469d15.bin.log,54.88599991798401
ramips,rt305x,b7b0aa7996cd204719e39a9a43effc1cc5d4545d.bin.log,56.10800004005432
ramips,rt305x,04c994c1a1c5df21ac9b39b628366fd692e6a740.bin.log,55.69000005722046
ramips,rt305x,dd330e84d2616a00ab95e4270d92d236978da706.bin.log,50.94799995422363
ramips,rt305x,83d2d8416aac5aebf7a15323e82e7fa975e93a89.bin.log,55.723999977111816
ramips,rt305x,add865f9bf8380778b0a7fe185b44595c1080976.bin.log,48.69799995422363
ramips,rt305x,76d75f57f0c53ae25a21711b5b968c03140a2451.bin.log,51.74899983406067
ramips,rt305x,890fa5324fd02d0d60c07c0608449df23bac55d7.bin.log,50.03399991989136
ramips,rt305x,3a0cb6077be8dab159d430a4e176c1420c69c014.bin.log,53.980000019073486
ramips,rt305x,4fa6c5efac44187e676c3b65b49d572602ad3056.bin.log,48.757999897003174
ramips,rt305x,b20b8824451a0c454de99f73b0cfca64433d40f0.bin.log,55.371999979019165
ramips,rt305x,544337d5c729dd175e12517bed69215ba58dffa5.bin.log,49.217000007629395
ramips,rt305x,2495948314171bb58d3e26489b949b1644456489.bin.log,49.78400015830994
ramips,rt305x,12c6b4bc88bf7f31fb0fec0d5e82df418f92beb6.bin.log,50.335999965667725
ramips,rt305x,8b1e83afdc66a70a991d00936390a55e9f0be7bc.bin.log,47.72000002861023
ramips,rt305x,c2f8f3741079f8fd2e80e0ad7046a71e727d9c81.bin.log,53.17399978637695
ramips,rt305x,847e4e444c12e0f6050c804c994448252f1d9607.bin.log,50.644999980926514
ramips,rt305x,59d06033157877d3a832ba59735269febb8678c2.bin.log,51.80899977684021
ramips,rt305x,121f70d2cc9cbbb04ed5c15af55b85d6b52eac18.bin.log,47.31599998474121
ramips,rt305x,9c3f6cb41dd51a68c78316fca4cc1345d59c9e06.bin.log,48.95700001716614
ramips,rt305x,8fa44893475a3e7882b2335dc77cc42b0e5dab08.bin.log,56.4300000667572
ramips,rt305x,5c6acce9de50291795ed220d9601bb09fedfab99.bin.log,48.21000003814697
ramips,rt305x,af52c54e81d79e669393b54bbb8e7ab88365304d.bin.log,47.348999977111816
ramips,rt305x,bdfb8f1fc9d893b95fbfbdf22d0e8a5c244b27b9.bin.log,51.71000003814697
ramips,rt305x,9c1b1dc3dab6e604639c98bd3e976c95213ccf13.bin.log,47.46499991416931
ramips,rt305x,0f6f6b3e7c034fb6d98e095ba4ea410c306716a4.bin.log,57.96600008010864
ramips,rt305x,802224557a6e3de59ac99933c6d40e426c8b6237.bin.log,53.64299988746643
ramips,rt305x,e3f0ff61e748abb7e813e4c6c6c4c43b4a57e2ff.bin.log,49.44700002670288
ramips,rt305x,8d179f1e7c49a2408e0af3f81a49970ab886bb4b.bin.log,54.776999950408936
ramips,rt305x,2e0273cca19ae4833ce902cf6db1dc08ee9b39fb.bin.log,55.93400001525879
ramips,rt305x,743a3a8a58f210bb561e74abcd92aaa1dad9a39e.bin.log,55.27199983596802
ramips,rt305x,7433d3fb327a555be4f3048bd048bce2a920dc11.bin.log,53.77900004386902
ramips,rt305x,cf992166c14b2e6c51e299243ed267e653c2cf09.bin.log,53.82800006866455
ramips,rt305x,4a434990d191c1d2f95ef203ede86e727bf5ad9c.bin.log,53.384000062942505
ramips,rt305x,6f08e0e145b1dd51bebfe2d6903fbe7fe2cf25db.bin.log,56.41000008583069
ramips,rt305x,7bf4b90fc73191e6d912f8cac69fab8d00de11d1.bin.log,54.99399995803833
ramips,rt305x,a7cece4ff9868a2fbcba70519d20f0bd1a5ecfe0.bin.log,52.520999908447266
ramips,rt305x,ee08f486e8d42283d1f8e3913c8af9b509efeb33.bin.log,51.37400007247925
ramips,rt305x,3b4e0b3b0797b38a1163eca873c739a00e66f39d.bin.log,52.99399995803833
ramips,rt305x,79df1674b78c854fd63da09acf7d3326ee8082e5.bin.log,54.90400004386902
ramips,rt305x,99104cfe102de58467f92f6663e048cbdf84f8b6.bin.log,40.46599984169006
ramips,rt305x,feea3fdd2678642b56ee125dba8368c309b4e71d.bin.log,49.63499999046326
ramips,rt305x,6b4d625004e464b30d987b15d966eb7465a89cd4.bin.log,48.569000005722046
ramips,rt305x,97ffdfd9b8612f7639a8424ec01a8b5ec6b69fae.bin.log,37.23099994659424
ramips,rt305x,27c385174381fc6abc3dd954dde049bb9f9ad023.bin.log,40.9779999256134
ramips,rt305x,023bdbd88bc9871743e42f620f44f6c857039ff8.bin.log,54.41100001335144
ramips,rt305x,c63f28ba0a173b34e73cbbd18ac118ada8b5df80.bin.log,49.157999992370605
ramips,rt305x,56b262788411cf08df96c6b44b5e8462144e7416.bin.log,54.888999938964844
ramips,rt305x,8abaaf92f586e132a7c2d9c002bbf2ae69e3ae3c.bin.log,46.01099991798401
ramips,rt305x,3d0c7811cc6c08ae8753e7ca418d48b4e0dd9a04.bin.log,51.97099995613098
ramips,rt305x,81be0b07aaefd49c17a0370f13c0be00747216f4.bin.log,47.50599980354309
ramips,rt305x,e2864d04548d632b4151b18ecb430c68e37a9dfa.bin.log,47.74300003051758
ramips,rt305x,dc0fdddb5e82cac8262cdfe7c84b68911bb6a156.bin.log,50.497000217437744
ramips,rt305x,d9733a6395da3ac200089fbe7ab48096a6008529.bin.log,50.50699996948242
ramips,rt305x,72f8ff01f9e7db3e871c728097f7bf823be1a104.bin.log,52.65700006484985
ramips,rt305x,603d81678b3ae21652da26b31ba3165c9a6bf17d.bin.log,43.5
ramips,rt305x,b1902ed22ffea1d5898cb5933c3d955677828e94.bin.log,55.25
ramips,rt305x,d4a86163cf4bbc2b171542e303baf4db48073ab9.bin.log,57.22099995613098
ramips,rt305x,30113500e553015531771e7302e14be481531f07.bin.log,50.59299993515015
ramips,rt305x,4db03dc2905b550367534234b8ced33ccad613f0.bin.log,49.98399996757507
ramips,rt305x,f6c169c2e94b7b808ef6fc56d5d4cd5a987c1be3.bin.log,81.7260000705719
ramips,rt305x,504a694e62c573def75008c1fbadc3265ff40de6.bin.log,82.3769998550415
ramips,rt305x,141f97d836cd025b2d70dc18da9736fa1ce33720.bin.log,82.62400007247925
ramips,rt305x,33c8a6a91497976ce7908de6989370d0df6708da.bin.log,74.9559998512268
ramips,rt305x,af759a12ddb461a96217c459385a436bd44145c3.bin.log,54.09999990463257
ramips,rt305x,4b2c1a4878ae91087ab6fcc5f8c75f15209cd046.bin.log,54.132999897003174
ramips,rt305x,b633455ebcd1bea1203ffbca302eaff952144c24.bin.log,47.2960000038147
ramips,rt305x,1ef712134951b4b6cda83efaed64929f8b415aa9.bin.log,47.19500017166138
ramips,rt305x,845fe3c7f0e57cfa1c311151b4de730862e34410.bin.log,48.98200011253357
ramips,rt305x,d4e1ea85e1478d783a9456d9a604460f87b1f2b5.bin.log,47.33400011062622
ramips,rt305x,0344d7206b0ae54520db53aa7ebb7041a4d10d97.bin.log,49.47200012207031
ramips,rt305x,e15ac4feb7e5fe392e34ea1607dd571ac5d5b6fa.bin.log,48.46600008010864
ramips,rt305x,309aef2ea7cdf802ef1ad08cd2dcfb61bf097c3a.bin.log,53.25099992752075
ramips,rt305x,c166249e72bf8540bfcfad7d15256a4e5adc49f9.bin.log,44.52400016784668
ramips,rt305x,03e939a7d37fe4fa35cf695b2be2f4bc579d2e26.bin.log,46.06500005722046
ramips,rt305x,8e557424dfd903ee72c2ca0c166ce298b3bc4280.bin.log,49.65700006484985
ramips,rt305x,5342d1f7ed860feac3571707c4337b5cc5c1392e.bin.log,31.913999795913696
ramips,rt305x,238afa957d8657330038489f3c1cb1f01c7960d8.bin.log,50.72200012207031
ramips,rt305x,24b18489be445786c062dd97c5238cae783c45dd.bin.log,38.348999977111816
ramips,rt305x,11420facdcc4816ae32268deab871742e4e58627.bin.log,40.894999980926514
ramips,rt305x,20bbcf8cb6b68b67990f844c2eb579d23aa8c0ca.bin.log,56.88300013542175
ramips,rt305x,1cf74ec4a7f9dbe0c909904619b6d33e67e8dde9.bin.log,51.61400008201599
ramips,rt305x,74fc16cf7c959aa32ef0ff8bdb4245d89cfb0f0f.bin.log,48.11999988555908
ramips,rt305x,c8635aa9c9c30be1451ccd6bc656b59ab08c26ea.bin.log,48.15300011634827
ramips,rt305x,729805a9fa5eba8d417a3e0fb48d62b8af2b1e33.bin.log,47.812000036239624
ramips,rt305x,05c52ccb43500b214e173a3fcf2122f5d006ea37.bin.log,53.4539999961853
ramips,rt305x,80794bcc8da6594888c3a574f3f35bcec71a89cc.bin.log,52.49300003051758
ramips,rt305x,d3a6df23af2181d122cdcd35dfa2f06b267e2408.bin.log,52.76700019836426
ramips,rt305x,0e12713771e05e0e0e39d714b68eccffe2d8b6bf.bin.log,48.305999994277954
ramips,rt305x,888e4ef126b07d86afae8fc3081f3a63161875e0.bin.log,57.96000003814697
ramips,rt305x,a18e8e521d51938070e053faa57b2aac625c7212.bin.log,57.55199980735779
ramips,rt305x,6c39c65f3d3dd14aa7655860c0fe147dfee7c8cd.bin.log,58.11399984359741
ramips,rt305x,793b3c5802e9485951c9590d5837f98e6ccfe90c.bin.log,51.19599986076355
ramips,rt305x,b7d091296f1da1d4698f98c5a0aa2fd5d965e4fc.bin.log,48.21500015258789
ramips,rt305x,2f96159dc1d242b704bcfeb41385798bc68abb59.bin.log,46.69700002670288
ramips,rt305x,8fb3c5b40d56da5622cea365437fcddd7ca509c2.bin.log,46.36800003051758
ramips,rt305x,2b30bd5269a85bbca7cd8b515c085197060b0cac.bin.log,50.111000061035156
ramips,rt305x,aec094f363cb76d17a56d8cdb4b1a7b54919ed74.bin.log,58.16799998283386
ramips,rt305x,6dc143dca1c889b42dc362ca249064961ee97582.bin.log,49.847999811172485
ramips,rt305x,d5e509ef92010ab47f486bcbf3f7f3157538b921.bin.log,53.62400007247925
ramips,rt305x,6b0f21d6eaad10b1e5371f7f6105a54b1f562de1.bin.log,42.92900013923645
ramips,rt305x,a9133bb92b6319835cd3896b63f492e1986f6ccb.bin.log,55.72699999809265
ramips,rt305x,b30086f50e54d2a1d555f58c218274208f43dd10.bin.log,49.16100001335144
ramips,rt305x,e79beeb66cb63d22762977a4841c6619a0d93e7c.bin.log,53.2960000038147
ramips,rt305x,665718a2d4487f42e31c01bd052398dbf6aefc0e.bin.log,45.75100016593933
ramips,rt305x,e3cb31df435e5c39a149814050a8d48fb0787590.bin.log,50.128000020980835
ramips,rt305x,c2c437e52488ddaef0ffb41f32a6d5ea25f22415.bin.log,44.11099982261658
ramips,rt305x,bbba9799ab68d97cc61fe15591454f08018b47ea.bin.log,48.18599987030029
ramips,rt305x,7fb50622e18f8d7250f90a5de3ef99f5e1c0c222.bin.log,44.84299993515015
ramips,rt305x,a9c39d030e3d0618994f2847097855a9544c06a4.bin.log,49.443000078201294
ramips,rt305x,a6cce24c707be7192dd2455435848ff6761fc0d6.bin.log,46.746999979019165
ramips,rt305x,64acff820e41e0fc444f35550b729731c38fcc0e.bin.log,44.62399983406067
ramips,rt305x,1bed780abab865f7e5c7d452e61c8ec2c1a5aa04.bin.log,49.62299990653992
ramips,rt305x,6cceb0e60725098b2f885beeea27f89f5b96401f.bin.log,56.9300000667572
