SIZE,COUNT
3192099,1
3670276,14
3407876,387
4194304,82
3176002,1
3214266,1
3408040,75
3408036,26
3492220,2
3492051,1
3670100,18
3408045,61
3670187,53
3493624,1
3178559,1
3670536,27
3530141,3
3408042,74
3407972,50
3198754,1
3525023,1
3344092,1
3093916,1
3604653,28
3493993,1
3932344,7
3198818,1
3492391,2
3218263,1
3198989,1
3408046,56
3342506,28
3670191,47
3492025,1
3492017,1
3408041,60
3214272,1
3670192,36
3932428,2
3240091,1
3472722,1
3670050,70
3200288,1
3604651,7
3240289,1
3524964,2
3530327,2
3670186,36
3670185,13
1381300,1
3670042,13
3214121,1
3475257,1
3670190,81
3276971,5
3408044,88
3670282,26
3932337,7
3178383,1
1160472,1
3670188,33
3218459,1
3213445,1
3492163,1
3670274,10
3176156,2
3407956,28
3475209,1
3206195,1
2752516,39
1158701,2
3342502,7
3206166,1
3491470,1
3407906,109
3475468,1
3530146,1
3175893,1
3213316,1
3198625,1
3408057,7
3670189,41
3179666,1
3094075,1
3342507,21
3408043,118
3670288,6
3206146,2
3206302,1
3205778,1
3198644,1
3493734,1
3491138,1
3093803,1
3198944,1
3408392,33
3192412,2
3200339,1
3604744,8
3491536,1
3524931,1
3493769,2
3932335,7
3530153,1
3240328,1
3200427,1
3407898,36
3670305,2
3492525,1
3154612,1
3240150,2
3654104,2
3178178,1
3213889,1
3179152,1
3530364,1
3472927,1
3178106,1
3214074,1
3604742,2
3179309,2
4194472,7
3178488,1
3491399,1
3530251,1
3525128,2
3240219,1
3932244,9
3179419,2
3492449,1
3670193,21
3213139,1
3670084,18
3268660,3
3492106,1
3530289,2
3494144,1
3179260,1
3571886,3
3492464,1
3475306,2
3240387,1
3214028,1
3179403,1
3200407,1
3525218,1
3198722,1
3492408,2
3179363,1
3179213,1
3494078,1
3192297,1
3407940,28
3342505,9
3670183,28
3932426,2
4322612,2
3200551,1
3301545,2
3525112,2
1159130,1
3491507,1
3371176,1
3670184,8
3214412,1
3218367,1
3175601,1
3192271,1
3276848,2
3932346,7
3178209,1
3214248,1
3493949,1
3192420,1
3301548,6
3214026,1
3198837,1
3268777,3
3214137,1
3200385,1
3297449,1
3175688,1
3198689,1
3932333,15
3218094,1
3408037,17
3200309,1
3240369,1
3214169,2
3190689,1
3175798,1
3218398,1
3179336,1
3200909,1
3408039,46
3198933,2
3276969,1
3492164,1
3175995,2
3268781,3
4322676,1
3154563,1
3218605,1
3472651,1
3492244,1
3491503,1
3492277,3
3218315,2
3472582,1
3492252,1
3240346,1
3567790,3
3408055,6
3154805,1
3154842,1
3213278,1
3493713,2
3408052,2
3408034,1
3932332,31
3493999,1
3175701,1
3179243,1
3475535,1
3492345,1
3472736,1
3214338,1
3206168,1
1160360,1
3475225,1
3932334,12
3530321,2
3492240,1
3342509,7
3491976,1
3276972,4
3408048,16
3093680,1
3154551,1
3240350,1
3218358,2
3492215,1
3268776,3
3525040,2
3178479,1
3211264,1
3670020,34
3175793,1
3493857,2
3493590,2
3604656,7
3175829,2
3192094,1
3178255,2
3218338,1
3218376,1
3240156,1
3218299,1
3492266,1
3206087,1
3408047,31
3493684,1
3475289,2
3588270,14
3670286,10
3525059,1
6353528,1
3192111,1
3178269,1
3666091,4
3175756,1
3206039,1
3492305,2
3200660,1
3178180,1
3491335,2
3192265,2
3489875,1
3493727,5
3206133,1
4327720,2
3200270,1
3493715,2
3932342,7
3358891,1
3213185,2
3670116,25
3670284,10
3530161,2
3178417,1
3214159,2
3525146,1
3205844,1
3218314,1
3524960,1
3494130,1
3492165,1
3604655,7
3240167,1
3493654,2
3408038,8
3214336,1
5268212,1
3179448,1
2624464,1
3218374,1
3178284,1
3179217,1
3492105,1
3342508,7
3530194,4
3493540,3
3932331,5
3530318,2
3493546,1
3154508,2
3493763,1
3206084,1
3492290,2
3493847,1
3205805,1
3530059,1
3179201,2
3281068,2
3686571,5
3735726,5
3472883,1
3313764,3
3525194,1
3192290,1
3932414,2
3178520,1
3472715,1
3213267,2
3200483,2
3492673,1
3472789,1
3094072,1
3240255,1
3472986,1
3218378,1
3493855,3
3492181,2
3176151,2
3154694,1
3200278,1
3240371,1
3276967,5
3218272,1
3588148,5
3192399,1
3491600,1
3530152,1
3198864,1
3492184,2
3932422,4
3200023,1
3932348,5
3206075,2
3932352,7
3555594,3
3178294,2
3525055,1
3493831,3
3240306,2
3240215,2
3493564,1
3525110,2
3268782,3
3358885,1
3212884,1
3932347,5
3198792,2
3154533,1
3200580,1
5627736,1
3492256,2
3350697,1
3178302,1
3218512,2
3178297,1
3571812,1
3491502,1
3932340,5
3177846,1
3200450,1
3198763,2
3313833,3
3492076,1
3475215,1
3205934,1
3178517,1
3240192,2
3493561,1
3093577,1
3492519,1
3604748,2
3175788,1
3175652,1
3493977,3
3176043,1
3492274,1
3682475,5
3492197,1
3491592,1
3604746,8
3494059,1
3604649,7
3093836,2
3175920,1
3179267,2
3604654,28
3492126,1
3213196,1
3475294,1
3218187,1
3491239,1
3214107,1
3492122,2
3218422,1
3932338,7
3218078,1
3475424,1
3154618,1
3297816,1
3206150,1
3493827,3
3206363,1
3472665,1
3493643,1
3218133,1
3214024,1
3238899,1
3620968,2
3493743,1
3240155,3
3213327,1
3178207,1
3493735,1
3178142,1
1382417,1
3198804,1
3491559,2
3218212,1
3524987,1
3206205,1
3475277,1
3492639,1
3240277,3
3312480,1
1381590,1
4327688,1
3094143,2
3205968,1
3200371,1
3408050,3
3367080,1
3154503,1
1345090,1
3621088,3
3281065,1
3240241,2
